,type
84,3
233,5
102,5
94,2
229,1
177,0
5,1
166,4
172,5
92,1
42,2
187,5
17,0
231,0
177,0
54,0
8,3
58,3
202,0
91,4
59,3
97,5
174,0
47,0
220,0
193,4
127,0
161,3
227,2
74,5
115,1
149,2
176,5
109,4
25,4
155,5
153,1
16,4
213,3
43,4
127,0
209,3
32,4
70,2
63,2
206,4
75,0
70,2
122,4
138,1
60,4
191,0
86,1
193,4
77,4
